Price,Area,Bedrooms
1.55 Cr,2600 sqft,"  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Jp Nagar Phase 5, J P Nagar, Outer Ring Road Bangalore 		                		 						            	         		    		 		           			 		           			                    "
1.50 Cr,1150 sqft,"  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Kaval Byrasandra, Kaval Byrasandra Bangalore 		                		 						            	         		    		 		           			 		           			                    "
70 Lac,1350 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Rt Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    
60 Lac,950 sqft,  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Medahalli Bangalore 		                		 						            	         		    		 		           			 		           			                    
1.05 Cr,2500 sqft,"  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Jp Nagar Phase 9, J P Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    "
1.30 Cr,2800 sqft,"  			            		 			            			 			            				5 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Moodalaplya, Vijayanagar Bangalore 		                		 						            	         		    		 		           			 		           			                    "
85 Lac,1800 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				K R Puram Bangalore 		                		 						            	         		    		 		           			 		           			                    
2.49 Cr,1700 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Sahakara Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    
90 Lac,1100 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Ramamurthy Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    
45 Lac,850 sqft,  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Gottigere Bangalore 		                		 						            	         		    		 		           			 		           			                    
76 Lac,1200 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				K R Puram Bangalore 		                		 						            	         		    		 		           			 		           			                    
90 Lac,2200 sqft,"  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Visl Layout, Talagatta Pura Bangalore 		                		 						            	         		    		 		           			 		           			                    "
85 Lac,570 sqft,"  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Gubbalala, Subramanyapura Bangalore 		                		 						            	         		    		 		           			 		           			                    "
